"ensembl_gene_id","logFC_PFC_F_FENT","logFC_PFC_FENT","logFC_PFC_M_FENT","Motif","name","P.Value_PFC_F_FENT","P.Value_PFC_FENT","P.Value_PFC_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000039672","0.851225288654349","1.37859619502542","1.90596710139649","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460","Kcne2","0.425832594029375","0.0500208327038347","0.0341538201423611","Regulated","false","Kcne2"
"ENSMUSG00000069833","0.6106848501161","0.550516962289489","0.490349074462878","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00497|transfac_public-M00460","Ahnak","0.119355983161309","0.032121963235155","0.130754695034925","Regulated","false","Ahnak"
"ENSMUSG00000021835","0.262383601154874","0.48920636848167","0.716029135808465","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|yetfasco-2168","Bmp4","0.604663484675824","0.140238238611293","0.0915025521458461","Regulated","false","Bmp4"
"ENSMUSG00000019944","0.89273167343939","0.581128065079996","0.269524456720603","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|yetfasco-2168","Rhobtb1","0.00380992098260093","0.00372116732612725","0.276629855020045","Regulated","false","Rhobtb1"
"ENSMUSG00000018845","0.277593041471726","0.395504959841446","0.513416878211167","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Unc45b","0.510540471448918","0.151511368002113","0.144533598958435","Regulated","false","Unc45b"
"ENSMUSG00000033542","0.470509995562217","0.493407643470278","0.516305291378338","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00497|transfac_public-M00460","Arhgef5","0.258828223759475","0.0705111972490181","0.136140858570853","Regulated","false","Arhgef5"
"ENSMUSG00000037820","0.901466575431401","0.721557696709129","0.541648817986856","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Tgm2","0.007998256902457","0.00126884543018085","0.0510312426745094","Regulated","false","Tgm2"
"ENSMUSG00000064210","0.106621207114578","0.217562644998321","0.328504082882064","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Ano6","0.469850315411897","0.0258082580528017","0.00886142043158169","Regulated","false","Ano6"
"ENSMUSG00000032194","0.0587900062315687","0.113283339238646","0.167776672245723","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460","Kank2","0.792677475249251","0.436338165479355","0.366546686206447","Regulated","false","Kank2"
"ENSMUSG00000028776","1.10635756716037","0.805409226969035","0.504460886777697","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Tinagl1","0.00390960891306988","0.00133588645171391","0.103538536146174","Regulated","false","Tinagl1"
"ENSMUSG00000026923","0.229180880435941","0.188885896979462","0.148590913522984","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00497|transfac_public-M00460","Notch1","0.198795617636097","0.104257078712522","0.313065914357008","Regulated","false","Notch1"
"ENSMUSG00000032092","1.1847962340055","1.13124439785003","1.07769256169456","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Mpzl2","0.102013538167405","0.0175635320319984","0.0731266950659263","Regulated","false","Mpzl2"
