"ensembl_gene_id","logFC_AMY_F_FENT","logFC_AMY_FENT","logFC_AMY_M_FENT","Motif","name","P.Value_AMY_F_FENT","P.Value_AMY_FENT","P.Value_AMY_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000044378","-0.104143594","-0.132991385","-0.161839177","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Slc15a5","0.759273319","0.580324019","0.634121785","Regulated","false","Slc15a5"
"ENSMUSG00000063450","-0.379176598","-0.471444882","-0.563713165","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Syne2","0.113419478","0.006422566","0.02010044","Regulated","false","Syne2"
"ENSMUSG00000056174","-0.560129272","-0.68709005","-0.814050828","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Col8a2","0.266349374","0.056319277","0.108233282","Regulated","false","Col8a2"
"ENSMUSG00000029055","-0.183943628","-0.40448425","-0.625024872","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Plch2","0.394875441","0.009889158","0.005046616","Regulated","false","Plch2"
"ENSMUSG00000039994","-0.107602007","-0.465335274","-0.823068542","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Timeless","0.69225916","0.01802074","0.003489758","Regulated","false","Timeless"
"ENSMUSG00000045333","-0.363445309","-0.290425317","-0.217405325","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Zfp423","0.00133168","3.35549E-4","0.048459387","Regulated","false","Zfp423"
"ENSMUSG00000043079","-0.242901575","-0.26143376","-0.279965945","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Synpo","0.034445387","0.001662621","0.015395013","Regulated","false","Synpo"
"ENSMUSG00000079036","-0.074417138","-0.254469255","-0.434521373","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Alkbh1","0.641197591","0.027150098","0.008203224","Regulated","false","Alkbh1"
"ENSMUSG00000026475","-0.194351279","-0.538925423","-0.883499567","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Rgs16","0.611593537","0.049854103","0.023748537","Regulated","false","Rgs16"
"ENSMUSG00000034687","-0.448994953","-0.417505197","-0.386015441","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Fras1","0.032256492","0.005467881","0.064307874","Regulated","false","Fras1"
"ENSMUSG00000038670","-0.438109621","-0.463813165","-0.489516708","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Mybpc2","0.301231274","0.123740995","0.248575883","Regulated","false","Mybpc2"
"ENSMUSG00000025551","-0.161052002","-0.235336562","-0.309621121","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Fgf14","0.177510632","0.006512685","0.011038546","Regulated","false","Fgf14"
"ENSMUSG00000030584","-0.112967419","-0.198615993","-0.284264568","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Dpf1","0.425367936","0.050541714","0.047915501","Regulated","false","Dpf1"
"ENSMUSG00000053559","-0.0101096","-0.085555849","-0.161002097","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Smagp","0.975564336","0.714077617","0.626030783","Regulated","false","Smagp"
"ENSMUSG00000021134","-0.06881468","-0.079701696","-0.090588713","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Srsf5","0.462275099","0.230336223","0.333996367","Regulated","false","Srsf5"
"ENSMUSG00000020067","-0.66792538","-0.626313278","-0.584701176","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Mypn","0.03254843","0.005183143","0.060166664","Regulated","false","Mypn"
"ENSMUSG00000026889","0.014977216","0.01128778","0.007598344","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Rbm18","0.884636339","0.877100643","0.941316616","Regulated","false","Rbm18"
"ENSMUSG00000022494","0.014634067","-0.029728693","-0.074091453","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Shisa9","0.894163484","0.702460006","0.501375632","Regulated","false","Shisa9"
"ENSMUSG00000095105","-0.374734847","-0.595969332","-0.817203817","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Edaradd","0.529901994","0.160497217","0.173385495","Regulated","false","Edaradd"
"ENSMUSG00000106918","-0.077407726","-0.134609219","-0.191810712","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Mrpl33","0.727533077","0.392758634","0.389199501","Regulated","false","Mrpl33"
"ENSMUSG00000019880","-0.29093088","-0.16289893","-0.034866979","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Rspo3","0.307846796","0.418623964","0.902309397","Regulated","false","Rspo3"
"ENSMUSG00000049225","-0.263878115","-0.305668409","-0.347458703","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Pdp1","0.095660437","0.00739136","0.029572261","Regulated","false","Pdp1"
"ENSMUSG00000001496","-0.965224446","-0.930555481","-0.895886516","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Nkx2-1","0.046927414","0.007535935","0.064543245","Regulated","false","Nkx2-1"
"ENSMUSG00000041700","-0.662485968","-0.831145335","-0.999804702","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Lhfpl1","0.185255919","0.020636577","0.047604763","Regulated","false","Lhfpl1"
"ENSMUSG00000025969","0.013086979","0.008257687","0.003428394","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Nrp2","0.919274693","0.927939247","0.978817825","Regulated","false","Nrp2"
