"ensembl_gene_id","logFC_AMY_F_FENT","logFC_AMY_FENT","logFC_AMY_M_FENT","Motif","name","P.Value_AMY_F_FENT","P.Value_AMY_FENT","P.Value_AMY_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000068859","-0.676919993","0.152642255","0.982204504","yetfasco-655","Sp9","0.028729398","0.47751073","0.0018861939999999999","Regulated","false","Sp9"
"ENSMUSG00000023150","-0.007089193","-0.019318816","-0.031548439","yetfasco-655","Ivns1abp","0.959717556","0.845688063","0.822192381","Regulated","false","Ivns1abp"
"ENSMUSG00000030287","0.146123","-0.008042813","-0.162208627","yetfasco-655","Itpr2","0.378819357","0.9452056","0.328957253","Regulated","false","Itpr2"
"ENSMUSG00000070880","0.491059347","0.333992822","0.176926297","yetfasco-655","Gad1","0.03298366","0.0399884","0.434666197","Regulated","false","Gad1"
"ENSMUSG00000075415","0.155654061","0.07442032","-0.00681342","yetfasco-655","Fnbp1","0.065623235","0.209679223","0.934844642","Regulated","false","Fnbp1"
"ENSMUSG00000030093","-0.062198579","-0.298839986","-0.535481393","yetfasco-655","Wnt7a","0.77243137","0.053027399","0.015148553","Regulated","false","Wnt7a"
"ENSMUSG00000018377","-0.074361186","-0.062893177","-0.051425168","yetfasco-655","Vezf1","0.428146558","0.343799703","0.583192731","Regulated","false","Vezf1"
"ENSMUSG00000004591","-0.066844479","-0.259286682","-0.451728885","yetfasco-655","Pkn2","0.631459523","0.010430436","0.001853048","Regulated","false","Pkn2"
"ENSMUSG00000015806","-0.050556635","0.067166939","0.184890514","yetfasco-655","Qdpr","0.70221735","0.473237582","0.165226023","Regulated","false","Qdpr"
"ENSMUSG00000042535","-0.003637155","-0.017081264","-0.030525372","yetfasco-655","Gtpbp1","0.971399129","0.811827201","0.76357238","Regulated","false","Gtpbp1"
"ENSMUSG00000049641","-0.368778097","-0.443889291","-0.519000485","yetfasco-655","Vgll2","0.497713738","0.25011408","0.340840057","Regulated","false","Vgll2"
"ENSMUSG00000076441","0.173812904","0.170229614","0.166646323","yetfasco-655","Ass1","0.294377754","0.14811487","0.314556275","Regulated","false","Ass1"
"ENSMUSG00000053985","-0.017049884","-0.0164966","-0.015943317","yetfasco-655","Zfp14","0.905702397","0.871239471","0.911795963","Regulated","false","Zfp14"
"ENSMUSG00000021803","-0.547556255","-0.255237796","0.037080663","yetfasco-655","Cdhr1","0.152203911","0.342882312","0.922088413","Regulated","false","Cdhr1"
"ENSMUSG00000027340","0.05150394","0.081505076","0.111506212","yetfasco-655","Slc23a2","0.592649649","0.2334213","0.248841039","Regulated","false","Slc23a2"
"ENSMUSG00000030350","0.235306482","0.050404779","-0.134496925","yetfasco-655","Prmt8","0.135348495","0.648186117","0.390347248","Regulated","false","Prmt8"
"ENSMUSG00000027108","-0.202459242","0.016138567","0.234736376","yetfasco-655","Ola1","0.304954861","0.907528718","0.234986974","Regulated","false","Ola1"
"ENSMUSG00000022075","0.014367862","-0.065262916","-0.144893694","yetfasco-655","Rhobtb2","0.881572593","0.340386662","0.136631224","Regulated","false","Rhobtb2"
"ENSMUSG00000027303","0.094793358","0.09800771","0.101222062","yetfasco-655","Ptpra","0.11825838","0.023927402","0.095774395","Regulated","false","Ptpra"
"ENSMUSG00000036198","-0.159579998","0.249241606","0.658063209","yetfasco-655","Arhgap36","0.677296013","0.359344288","0.089787316","Regulated","false","Arhgap36"
"ENSMUSG00000002658","-0.073512","0.034320181","0.142152363","yetfasco-655","Gtf2f1","0.371749844","0.554618307","0.086963708","Regulated","false","Gtf2f1"
"ENSMUSG00000028717","0.539148191","0.40181587","0.264483548","yetfasco-655","Tal1","0.156224776","0.135427494","0.483893918","Regulated","false","Tal1"
"ENSMUSG00000020941","-0.253962081","-0.148003558","-0.042045035","yetfasco-655","Map3k14","0.346068642","0.436862241","0.875587619","Regulated","false","Map3k14"
"ENSMUSG00000026407","-0.063033135","-0.262134977","-0.461236819","yetfasco-655","Cacna1s","0.874585414","0.354953821","0.250705502","Regulated","false","Cacna1s"
"ENSMUSG00000058587","-0.218338808","-0.264716794","-0.311094779","yetfasco-655","Tmod3","0.115999999","0.00820836","0.026671127","Regulated","false","Tmod3"
"ENSMUSG00000043940","0.100605791","0.02297647","-0.054652851","yetfasco-655","Wdfy3","0.194965471","0.673562272","0.479206518","Regulated","false","Wdfy3"
"ENSMUSG00000035172","0.279157215","0.064279945","-0.150597325","yetfasco-655","Plekhh3","0.111299561","0.600593982","0.386718857","Regulated","false","Plekhh3"
"ENSMUSG00000043635","-0.057997639","-0.068750833","-0.079504027","yetfasco-655","Adamts3","0.637291068","0.430067181","0.518413477","Regulated","false","Adamts3"
"ENSMUSG00000028926","0.134081812","0.083892251","0.03370269","yetfasco-655","Cdk14","0.21789258","0.274933235","0.755357912","Regulated","false","Cdk14"
"ENSMUSG00000017210","-0.018518925","0.009653658","0.037826241","yetfasco-655","Med24","0.82363917","0.869482901","0.649167553","Regulated","false","Med24"
"ENSMUSG00000034853","-0.016662511","-0.031957904","-0.047253298","yetfasco-655","Acot11","0.91811941","0.780426808","0.770709012","Regulated","false","Acot11"
"ENSMUSG00000041815","0.063194682","0.001907879","-0.059378924","yetfasco-655","Poldip3","0.526960438","0.978414037","0.552130881","Regulated","false","Poldip3"
"ENSMUSG00000018593","0.050809856","0.045759987","0.040710118","yetfasco-655","Sparc","0.757795062","0.694563589","0.804818997","Regulated","false","Sparc"
"ENSMUSG00000053716","-0.108217002","-0.108412039","-0.108607076","yetfasco-655","Dusp7","0.357207671","0.193682091","0.355489557","Regulated","false","Dusp7"
"ENSMUSG00000047921","0.038644862","-0.004296309","-0.047237479","yetfasco-655","Trappc9","0.534658074","0.922109034","0.44823489","Regulated","false","Trappc9"
"ENSMUSG00000020687","0.033816856","0.033261029","0.032705201","yetfasco-655","Cdc27","0.647232151","0.524778197","0.658060107","Regulated","false","Cdc27"
"ENSMUSG00000020453","-0.048132481","-0.062180503","-0.076228526","yetfasco-655","Patz1","0.561051184","0.289841904","0.358295246","Regulated","false","Patz1"
"ENSMUSG00000035799","-0.237565859","0.189145482","0.615856823","yetfasco-655","Twist1","0.558382672","0.510079257","0.132362668","Regulated","false","Twist1"
"ENSMUSG00000031803","-0.09256331","-0.341764184","-0.590965059","yetfasco-655","B3gnt3","0.83695172","0.284811604","0.192003817","Regulated","false","B3gnt3"
"ENSMUSG00000042659","-0.262860171","-0.367192254","-0.471524338","yetfasco-655","Arrdc4","0.204054199","0.013821352","0.024752989","Regulated","false","Arrdc4"
"ENSMUSG00000029528","-0.097450904","-0.193563109","-0.289675314","yetfasco-655","Pxn","0.498564368","0.060599298","0.047458527","Regulated","false","Pxn"
"ENSMUSG00000029640","-0.013816574","-0.085432165","-0.157047756","yetfasco-655","Usp12","0.860059535","0.126839234","0.048683125","Regulated","false","Usp12"
"ENSMUSG00000031292","-0.076044051","-0.267340066","-0.458636082","yetfasco-655","Cdkl5","0.632149007","0.019913095","0.005188589","Regulated","false","Cdkl5"
"ENSMUSG00000036591","-0.268740916","-0.254429339","-0.240117762","yetfasco-655","Arhgap21","0.056648607","0.011659338","0.087598027","Regulated","false","Arhgap21"
"ENSMUSG00000037622","-0.06896467","-0.094862264","-0.120759858","yetfasco-655","Wdtc1","0.534067988","0.228530509","0.277846667","Regulated","false","Wdtc1"
"ENSMUSG00000026748","-0.111025284","-0.032100431","0.046824422","yetfasco-655","Plxdc2","0.237576167","0.627462789","0.616701827","Regulated","false","Plxdc2"
"ENSMUSG00000008575","0.00996264","-0.24587111","-0.501704861","yetfasco-655","Nfib","0.968497536","0.171468938","0.050380145","Regulated","false","Nfib"
"ENSMUSG00000001687","-0.035395355","0.004792253","0.044979861","yetfasco-655","Ubl3","0.746752411","0.950676145","0.681617932","Regulated","false","Ubl3"
"ENSMUSG00000047496","0.162507121","-0.006148853","-0.174804826","yetfasco-655","Rnf152","0.497081274","0.970956282","0.465233465","Regulated","false","Rnf152"
"ENSMUSG00000031647","0.13429671","-0.041046139","-0.216388988","yetfasco-655","Mfap3l","0.491824477","0.766003219","0.269545648","Regulated","false","Mfap3l"
"ENSMUSG00000039286","-0.078560589","-0.072613289","-0.06666599","yetfasco-655","Fndc3b","0.595458074","0.488033391","0.652202152","Regulated","false","Fndc3b"
"ENSMUSG00000042447","-0.062325958","-0.052635029","-0.0429441","yetfasco-655","Mios","0.583866757","0.51322078","0.70568233","Regulated","false","Mios"
"ENSMUSG00000026603","0.021379524","0.143729922","0.266080319","yetfasco-655","Smyd2","0.810969938","0.025947695","0.004052043","Regulated","false","Smyd2"
"ENSMUSG00000044813","0.100626794","-0.043769195","-0.188165185","yetfasco-655","Shb","0.548381149","0.711721236","0.263529677","Regulated","false","Shb"
"ENSMUSG00000037552","-0.066213114","-0.126363151","-0.186513189","yetfasco-655","Plekhg2","0.741602168","0.374878555","0.354511912","Regulated","false","Plekhg2"
"ENSMUSG00000061578","0.134528467","0.023133925","-0.088260616","yetfasco-655","Ksr2","0.194467238","0.750743423","0.39272427","Regulated","false","Ksr2"
